Abkuerzung Betriebspunkt;Bezeichnung Betriebspunkt;Abkuerzung Betriebspunkt Strecke;Bezeichnung Betriebspunkt Strecke;LINIE;Kilometrierung des Betriebspunktes;LINIENNAME;VERWALTUNG;E;N;geopos;BPUIC;Didok Nummer;Name Haltestelle;lod
GESE;Geneve-Secheron;GESE;Geneve-Secheron;150;58.86;Lausanne - Geneve-Aeroport;SBB CFF;2500154.186;1119824.517;1119824.52113,2500154.19049;8516283;16283;Genève-Sécheron;http://lod.opentransportdata.swiss/didok/8516283
GEST;Geneve-Stade;GEPR;Geneve-La-Praille;152;65.274;St-Jean - Geneve-Eaux-Vives - Annemasse;SBB CFF;2498643.377;1114765.717;1114765.72113,2498643.38049;8516174;16174;Genève-Stade;http://lod.opentransportdata.swiss/didok/8516174
GEV;Geneve-Eaux-Vives;GEV;Geneve-Eaux-Vives;152;70.45;St-Jean - Geneve-Eaux-Vives - Annemasse;SBB CFF;2501814.213;1117463.107;1117463.11113,2501814.21049;8516273;16273;Genève-Eaux-Vives;http://lod.opentransportdata.swiss/didok/8516273
GEXO;Gexi Ost (Abzw);GEXI;Gexi;653;64.08259;Gexi Ost - Rotkreuz - Immensee West;SBB CFF;2657123.07;1249394.057;1249394.06115,2657123.0706;8515401;15401;Gexi Ost (Abzw);http://lod.opentransportdata.swiss/didok/8515401
GIB;Gibswil;GIB;Gibswil;754;34.70027;Winterthur Gruze - Bauma - Ruti ZH West;SBB CFF;2711663.275;1241366.574;1241366.57113,2711663.27064;8503137;3137;Gibswil;http://lod.opentransportdata.swiss/didok/8503137
GIO;Giornico;GIO;Giornico;600;121.656;Immensee - Bellinzona - Chiasso;SBB CFF;2710234.463;1140038.253;1140038.25109,2710234.46067;8505206;5206;Giornico;http://lod.opentransportdata.swiss/didok/8505206
GIOV;Monthey Giovanola (embr);GIOV;Monthey Giovanola (embr);131;7.21;Les Paluds - St-Gingolph (Frontiere);SBB CFF;2562297.781;1123848.437;1123848.44113,2562297.78055;8501437;1437;Monthey Giovanola (embr);http://lod.opentransportdata.swiss/didok/8501437
GIVO;Givisiez Ouest;GIV;Givisiez;253;45.48368;Payerne Est - Fribourg Nord;SBB CFF;2575658.841;1185116.939;1185116.94115,2575658.84054;8505943;5943;Givisiez Ouest;http://lod.opentransportdata.swiss/didok/8505943
GMT;Gruemet (Abzw);GMT;Gruemet (Abzw);650;22.83688;Killwangen West - Lenzburg - Daniken Ost;SBB CFF;2662628.057;1253220.563;1253220.56115,2662628.0606;8502131;2131;Gruemet (Abzw);http://lod.opentransportdata.swiss/didok/8502131
GOE;Goschenen;GOE;Goschenen;600;70.44657;Immensee - Bellinzona - Chiasso;SBB CFF;2688019.933;1168931.801;1168931.8011,2688019.93065;8505119;5119;Göschenen;http://lod.opentransportdata.swiss/didok/8505119
GOL;Goldach;GOL;Goldach;880;67.99557;Sargans Ost - St.Gallen;SBB CFF;2752891.535;1260090.074;1260090.07112,2752891.54067;8506305;6305;Goldach;http://lod.opentransportdata.swiss/didok/8506305
GOTN;Gotthard Nord (Spw);GOTN;Gotthard Nord (Spw);600;75.371;Immensee - Bellinzona - Chiasso;SBB CFF;2688402.042;1164023.726;1164023.7311,2688402.04065;8505141;5141;Gotthard Nord (Spw);http://lod.opentransportdata.swiss/didok/8505141
GREL;Grellingen;GREL;Grellingen;230;108.94158;Delemont Est - Basel SBB Ost;SBB CFF;2611568.423;1254511.424;1254511.42116,2611568.42056;8500115;115;Grellingen;http://lod.opentransportdata.swiss/didok/8500115
GU;Gurtnellen;GU;Gurtnellen;600;54.40072;Immensee - Bellinzona - Chiasso;SBB CFF;2690489.709;1176032.698;1176032.70111,2690489.71065;8505117;5117;Gurtnellen;http://lod.opentransportdata.swiss/didok/8505117
GUES;Gumligen Sud (Abzw);GUES;Gumligen Sud (Abzw);460;9.096;Gumligen Sud - Fluhmuhle;SBB CFF;2606177.305;1197241.665;1197241.66114,2606177.30057;8515643;15643;Gümligen Süd (Abzw);http://lod.opentransportdata.swiss/didok/8515643
HAF;Hafen Bach (Spw);HAF;Hafen Bach (Spw);720;28.72685;ZH Langstrasse - Thalwil - Ziegelbrucke;SBB CFF;2697000.822;1228544.825;1228544.82113,2697000.82063;8503212;3212;Hafen Bäch (Spw);http://lod.opentransportdata.swiss/didok/8503212
HB;Herzogenbuchsee;HB;Herzogenbuchsee;418;66.71516;Anschlussgleis Herzogenbuchsee Nord;SBB CFF;2619881.936;1226381.482;1226381.48114,2619881.94057;8508008;8008;Herzogenbuchsee;http://lod.opentransportdata.swiss/didok/8508008
HBK;Hindelbank;HBK;Hindelbank;450;89.725;Olten Sud - Bern;SBB CFF;2608113.813;1210953.732;1210953.73115,2608113.81057;8508003;8003;Hindelbank;http://lod.opentransportdata.swiss/didok/8508003
HBTN;Hauenstein Nord (Spw);HBTN;Hauenstein Nord (Spw);500;31.424;Basel SBB - Olten - Luzern;SBB CFF;2634743.99;1251957.815;1251957.82115,2634743.99058;8500029;29;Hauenstein Nord (Spw);http://lod.opentransportdata.swiss/didok/8500029
HDK;Hendschiken;HDK;Hendschiken;653;65.17324;Gexi Ost - Rotkreuz - Immensee West;SBB CFF;2658044.143;1249017.719;1249017.72115,2658044.1406;8502211;2211;Hendschiken;http://lod.opentransportdata.swiss/didok/8502211
HGV;Les Hauts-Geneveys;HGV;Les Hauts-Geneveys;224;20.98843;Chambrelien Nord - Le Locle (Frontiere);SBB CFF;2557145.39;1210837.564;1210837.56116,2557145.39052;8504237;4237;Les Hauts-Geneveys;http://lod.opentransportdata.swiss/didok/8504237
HIK;Hitzkirch;HIK;Hitzkirch;651;20.78944;Hubeli - Beinwil - Lenzburg;SBB CFF;2661604.51;1230512.492;1230512.49114,2661604.51061;8502027;2027;Hitzkirch;http://lod.opentransportdata.swiss/didok/8502027
HN;Horn;HN;Horn;825;93.46531;Romanshorn Feld H - Rorschach;SBB CFF;2752563.941;1262237.32;1262237.32112,2752563.94067;8506307;6307;Horn;http://lod.opentransportdata.swiss/didok/8506307
HOBK;Holderbank AG;HOBK;Holderbank AG;640;38.76;Brugg - Rupperswil;SBB CFF;2654925.818;1253347.844;1253347.84115,2654925.82059;8502128;2128;Holderbank AG;http://lod.opentransportdata.swiss/didok/8502128
HRDF;Hardfeld (Spw);HRDF;Hardfeld (Spw);450;91.6572;Olten Sud - Bern;SBB CFF;2606788.286;1209642.832;1209642.83114,2606788.29057;8508000;8000;Hardfeld (Spw);http://lod.opentransportdata.swiss/didok/8508000
HRDF;Hardfeld (Spw);HRDF;Hardfeld (Spw);457;91.6572;Hardfeld (Spw) - Mattstetten;SBB CFF;2606788.286;1209642.832;1209642.83114,2606788.29057;8508000;8000;Hardfeld (Spw);http://lod.opentransportdata.swiss/didok/8508000
HRK;Harkingen Post;HRK;Harkingen Post;410;47.44768;Olten - Solothurn - Biel/Bienne;SBB CFF;2628715.549;1241263.084;1241263.08116,2628715.55058;8500232;232;Härkingen Post;http://lod.opentransportdata.swiss/didok/8500232
HU;Hunzenschwil;HU;Hunzenschwil;645;63.26981;Lenzburg West - Suhr;SBB CFF;2651877.155;1248833.205;1248833.20115,2651877.16059;8502104;2104;Hunzenschwil;http://lod.opentransportdata.swiss/didok/8502104
HUER;Hurlistein (Abzw);HUER;Hurlistein (Abzw);751;14.77094;ZH Langstr. - Wallisellen - Winterthur;SBB CFF;2692417.15;1253125.862;1253125.86114,2692417.15062;8503338;3338;Hürlistein (Abzw);http://lod.opentransportdata.swiss/didok/8503338
HUEW;Huntwangen-Wil;HUEW;Huntwangen-Wil;770;23.60162;Bulach - Eglisau - Neuhausen;SBB CFF;2680814.091;1270616.202;1270616.20114,2680814.09061;8503403;3403;Hüntwangen-Wil;http://lod.opentransportdata.swiss/didok/8503403
INKV;Inkwil (Verzw);WANZ;Wanzwil (Abzw);416;70.59943;Wanzwil - Inkwil (Tunnel Wolfacher Sud);SBB CFF;2617131.905;1227196.055;1227196.05115,2617131.91057;8516770;16770;Inkwil (Verzw);http://lod.opentransportdata.swiss/didok/8516770
IT;Itingen;IT;Itingen;500;19.151;Basel SBB - Olten - Luzern;SBB CFF;2626282.472;1257447.366;1257447.37116,2626282.47057;8500025;25;Itingen;http://lod.opentransportdata.swiss/didok/8500025
JKLM;Bern JKLM;BN;Bern;250;96.32138;Lausanne Est - Bern;SBB CFF;2599258.663;1199684.343;1199684.34114,2599258.66056;8507012;7012;Bern JKLM;http://lod.opentransportdata.swiss/didok/8507012
KAAG;Kaiserstuhl AG;KAAG;Kaiserstuhl AG;701;30.19755;Eglisau - Koblenz - Stein Sackingen Ost;SBB CFF;2673787.099;1268875.986;1268875.99115,2673787.1006;8503413;3413;Kaiserstuhl AG;http://lod.opentransportdata.swiss/didok/8503413
KAB;Kaltbrunn;KAB;Kaltbrunn;853;30.98199;Wil Sud - Wattwil - Uznach;SBB CFF;2719961.049;1230882.529;1230882.53112,2719961.05065;8503117;3117;Kaltbrunn;http://lod.opentransportdata.swiss/didok/8503117
KAL;Kallnach;KAL;Kallnach;251;91.37025;Palezieux Est - Lyss Nord;SBB CFF;2584534.831;1208295.928;1208295.93116,2584534.83055;8504402;4402;Kallnach;http://lod.opentransportdata.swiss/didok/8504402
KGO;Kusnacht Goldbach;KGO;Kusnacht Goldbach;730;10.80557;Zurich Stadelhofen - Rapperswil;SBB CFF;2685971.976;1242399.271;1242399.27114,2685971.98062;8503141;3141;Küsnacht Goldbach;http://lod.opentransportdata.swiss/didok/8503141
KL;Kloten;KL;Kloten;752;11.29461;Zurich Oerlikon Nord - Hurlistein (Abzw);SBB CFF;2686367.434;1255942.995;1255943.00115,2686367.43062;8503308;3308;Kloten;http://lod.opentransportdata.swiss/didok/8503308
KL;Kloten;KL;Kloten;757;11.29957;Kloten - Dorfnest (Uberwerfung);SBB CFF;2686367.434;1255942.995;1255943.00115,2686367.43062;8503308;3308;Kloten;http://lod.opentransportdata.swiss/didok/8503308
KLB;Kloten Balsberg;KLB;Kloten Balsberg;752;8.79927;Zurich Oerlikon Nord - Hurlistein (Abzw);SBB CFF;2685390.325;1255226.398;1255226.40114,2685390.32062;8503309;3309;Kloten Balsberg;http://lod.opentransportdata.swiss/didok/8503309
KLW;Killwangen-Spreitenbach;KLW;Killwangen-Spreitenbach;691;16.11166;RBL Kopf Zurich - Killwangen West;SBB CFF;2669072.525;1254017.032;1254017.03114,2669072.5206;8503506;3506;Killwangen-Spreitenbach;http://lod.opentransportdata.swiss/didok/8503506
KLWW;Killwangen West (Abzw);KLW;Killwangen-Spreitenbach;691;16.5184;RBL Kopf Zurich - Killwangen West;SBB CFF;2668725.525;1254231.03;1254231.03115,2668725.5206;8515450;15450;Killwangen West (Abzw);http://lod.opentransportdata.swiss/didok/8515450
KLWW;Killwangen West (Abzw);KLW;Killwangen-Spreitenbach;704;40.99186;Wurenlos - Killwangen West (RBL);SBB CFF;2668725.525;1254231.03;1254231.03115,2668725.5206;8515450;15450;Killwangen West (Abzw);http://lod.opentransportdata.swiss/didok/8515450
KLWW;Killwangen West (Abzw);KLW;Killwangen-Spreitenbach;710;16.51888;Zurich HB - Brugg AG;SBB CFF;2668725.525;1254231.03;1254231.03115,2668725.5206;8515450;15450;Killwangen West (Abzw);http://lod.opentransportdata.swiss/didok/8515450
KMUE;Zug Chollermuli;KMUE;Zug Chollermuli;660;41.196;Thalwil - Zug - Fluhmuhle;SBB CFF;2679438.451;1226005.855;1226005.86113,2679438.45062;8502230;2230;Zug Chollermüli;http://lod.opentransportdata.swiss/didok/8502230
KPT;Kempraten;KPT;Kempraten;730;33.83199;Zurich Stadelhofen - Rapperswil;SBB CFF;2704159.478;1232854.504;1232854.50113,2704159.48064;8503112;3112;Kempraten;http://lod.opentransportdata.swiss/didok/8503112
KR;Kreuzlingen;KR;Kreuzlingen;823;60.68801;Kreuzlingen - Kreuzlingen Hafen;SBB CFF;2730001.191;1279422.829;1279422.83113,2730001.19064;8506131;6131;Kreuzlingen;http://lod.opentransportdata.swiss/didok/8506131
KRB;Kreuzlingen Bernrain;KRB;Kreuzlingen Bernrain;831;36.23236;Weinfelden - Tagermoos;SBB CFF;2729585.318;1278252.728;1278252.73113,2729585.32064;8506197;6197;Kreuzlingen Bernrain;http://lod.opentransportdata.swiss/didok/8506197
KZS;Kerzers Sud (Abzw);KZB;Kerzers BLS;220;21.97724;Bern - Neuchatel Est (bif);BLS;2581269.44;1202550.945;1202550.95115,2581269.44055;8515334;15334;Kerzers Süd (Abzw);http://lod.opentransportdata.swiss/didok/8515334
KZS;Kerzers Sud (Abzw);KZB;Kerzers BLS;259;84.65956;Kerzers Sud - Kerzers SBB;BLS;2581269.44;1202550.945;1202550.95115,2581269.44055;8515334;15334;Kerzers Süd (Abzw);http://lod.opentransportdata.swiss/didok/8515334
KZW;Kerzers West (Abzw);KZ;Kerzers;258;21.96598;Kerzers West - Kerzers BLS;SBB CFF;2581239.596;1202539.827;1202539.83115,2581239.60054;8518338;18338;Kerzers West (Abzw);http://lod.opentransportdata.swiss/didok/8518338
LBSE;Lenzburg Seetal;LB;Lenzburg;651;42.044;Hubeli - Beinwil - Lenzburg;SBB CFF;2655299.314;1249122.245;1249122.25115,2655299.3106;8518791;18791;Lenzburg Seetal;http://lod.opentransportdata.swiss/didok/8518791
LECR;Lecheires (bif);LECR;Lecheires (bif);164;7.35995;Lecheires - Denges A;SBB CFF;2531895.696;1154107.782;1154107.78115,2531895.70051;8501148;1148;Lécheires (bif);http://lod.opentransportdata.swiss/didok/8501148
LECR;Lecheires (bif);LECR;Lecheires (bif);169;13.20909;Lausanne-Triage sect. - Bussigny;SBB CFF;2531895.696;1154107.782;1154107.78115,2531895.70051;8501148;1148;Lécheires (bif);http://lod.opentransportdata.swiss/didok/8501148
LEN;Lengnau;LEN;Lengnau;410;87.993;Olten - Solothurn - Biel/Bienne;SBB CFF;2594536.583;1225388.844;1225388.84116,2594536.58055;8500201;201;Lengnau;http://lod.opentransportdata.swiss/didok/8500201
LENG;Lengwil;LENG;Lengwil;831;33.44794;Weinfelden - Tagermoos;SBB CFF;2731660.711;1276461.737;1276461.74114,2731660.71065;8506196;6196;Lengwil;http://lod.opentransportdata.swiss/didok/8506196
LENO;Lengnau Ost (Abzw);LEN;Lengnau;232;12.64243;Moutier - Lengnau Ost;SBB CFF;2594831.297;1225555.465;1225555.46116,2594831.30055;8515335;15335;Lengnau Ost (Abzw);http://lod.opentransportdata.swiss/didok/8515335
LFG;Laufenburg;LFG;Laufenburg;701;65.511;Eglisau - Koblenz - Stein Sackingen Ost;SBB CFF;2646863.763;1267858.441;1267858.44116,2646863.76058;8500322;322;Laufenburg;http://lod.opentransportdata.swiss/didok/8500322
LGPC;Lugano Paradiso (c bin);LGPC;Lugano Paradiso (c bin);600;183.21114;Immensee - Bellinzona - Chiasso;SBB CFF;2717180.81;1094190.115;1094190.11106,2717180.81069;8515409;15409;Lugano Paradiso (c bin);http://lod.opentransportdata.swiss/didok/8515409
LGUT;Lochligut (Abzw);LGUT;Lochligut (Abzw);450;101.28029;Olten Sud - Bern;SBB CFF;2602078.83;1203280.731;1203280.73115,2602078.83056;8504449;4449;Löchligut (Abzw);http://lod.opentransportdata.swiss/didok/8504449
LINB;Linthal Braunwaldbahn;LINB;Linthal Braunwaldbahn;736;83.96514;Ziegelbrucke Ost - Linthal Gleisende;SBB CFF;2719092.673;1198664.175;1198664.18111,2719092.67066;8503240;3240;Linthal Braunwaldbahn;http://lod.opentransportdata.swiss/didok/8503240
LINE;Linthal (Gleisende);LIN;Linthal;736;84.84622;Ziegelbrucke Ost - Linthal Gleisende;SBB CFF;2718528.505;1198015.607;1198015.61111,2718528.50066;8515453;15453;Linthal (Gleisende);http://lod.opentransportdata.swiss/didok/8515453
LIT;Littau;LIT;Littau;460;89.17591;Gumligen Sud - Fluhmuhle;SBB CFF;2662188.361;1211661.323;1211661.32113,2662188.36061;8508219;8219;Littau;http://lod.opentransportdata.swiss/didok/8508219
LITT;Litti (Baar);LITT;Litti (Baar);9722;21.0;Nidelbad - Litti;SBB CFF;2683119.27;1229243.269;1229243.27113,2683119.27062;8502242;2242;Litti (Baar);http://lod.opentransportdata.swiss/didok/8502242
LK;Leuk;LK;Leuk;100;117.694;Lausanne - Simplon Tunnel I - Iselle;SBB CFF;2615891.2932;1128929.1701;1128929.17111,2615891.29059;8501601;1601;Leuk;http://lod.opentransportdata.swiss/didok/8501601
LOC;Le Locle;LOC;Le Locle;224;37.06721;Chambrelien Nord - Le Locle (Frontiere);SBB CFF;2547390.022;1212103.713;1212103.71116,2547390.02051;8504316;4316;Le Locle;http://lod.opentransportdata.swiss/didok/8504316
LOEW;Muntelier-Lowenberg;LOEW;Muntelier-Lowenberg;251;78.5725;Palezieux Est - Lyss Nord;SBB CFF;2576747.707;1198588.271;1198588.27115,2576747.71054;8504140;4140;Muntelier-Löwenberg;http://lod.opentransportdata.swiss/didok/8504140
LQ;Landquart;LQ;Landquart;910;0.0;Landquart - Klosters - Sagliains;SBB CFF;2760969.261;1203988.14;1203988.1411,2760969.26069;8509002;9002;Landquart;http://lod.opentransportdata.swiss/didok/8509002
LST;Liestal;LST;Liestal;500;14.376;Basel SBB - Olten - Luzern;SBB CFF;2622064.002;1259340.621;1259340.62116,2622064.00056;8500023;23;Liestal;http://lod.opentransportdata.swiss/didok/8500023
LSTN;Liestal Nord (Abzw);LST;Liestal;500;13.83314;Basel SBB - Olten - Luzern;SBB CFF;2621675.476;1259719.567;1259719.57117,2621675.48056;8515272;15272;Liestal Nord (Abzw);http://lod.opentransportdata.swiss/didok/8515272
LTB;Lausanne-Triage B;LT;Lausanne-Triage;160;8.50593;Renens VD Ouest - Lausanne-Triage sect.;SBB CFF;2530999.878;1153370.922;1153370.92115,2530999.88051;8515339;15339;Lausanne-Triage B;http://lod.opentransportdata.swiss/didok/8515339
LTD;Lausanne-Triage D;LT;Lausanne-Triage;163;7.71801;Lausanne-Triage D - Denges B;SBB CFF;2531643.291;1153848.633;1153848.63114,2531643.29051;8515341;15341;Lausanne-Triage D;http://lod.opentransportdata.swiss/didok/8515341
LTD;Lausanne-Triage D;LT;Lausanne-Triage;167;7.6959;Lausanne-Triage D - Lausanne-Triage C;SBB CFF;2531643.291;1153848.633;1153848.63114,2531643.29051;8515341;15341;Lausanne-Triage D;http://lod.opentransportdata.swiss/didok/8515341
LTE;Lausanne-Triage Est;LT;Lausanne-Triage;166;7.25578;Renens VD Ouest - Lausanne-Triage Est;SBB CFF;2532096.006;1154205.144;1154205.14114,2532096.01051;8515639;15639;Lausanne-Triage Est;http://lod.opentransportdata.swiss/didok/8515639
LTN;Lausanne-Triage Nord;LTN;Lausanne-Triage Nord;169;13.83921;Lausanne-Triage sect. - Bussigny;SBB CFF;2532295.94;1154574.658;1154574.66114,2532295.94051;8501142;1142;Lausanne-Triage Nord;http://lod.opentransportdata.swiss/didok/8501142
LTO;Lausanne-Triage Ouest;LT;Lausanne-Triage;160;9.8082;Renens VD Ouest - Lausanne-Triage sect.;SBB CFF;2529787.25;1152950.23;1152950.23114,2529787.25051;8518430;18430;Lausanne-Triage Ouest;http://lod.opentransportdata.swiss/didok/8518430
LTO;Lausanne-Triage Ouest;LT;Lausanne-Triage;161;9.7915;Lausanne-Triage F - Lonay A (bif);SBB CFF;2529787.25;1152950.23;1152950.23114,2529787.25051;8518430;18430;Lausanne-Triage Ouest;http://lod.opentransportdata.swiss/didok/8518430
LTP;Lausanne-Triage P1;LT;Lausanne-Triage;160;9.41109;Renens VD Ouest - Lausanne-Triage sect.;SBB CFF;2530137.689;1153121.378;1153121.38115,2530137.69051;8515640;15640;Lausanne-Triage P1;http://lod.opentransportdata.swiss/didok/8515640
LTSE;Lausanne-Triage sectionnement;LT;Lausanne-Triage;169;10.26692;Lausanne-Triage sect. - Bussigny;SBB CFF;2529608.62;1152608.89;1152608.89114,2529608.62051;8515342;15342;Lausanne-Triage sectionnement;http://lod.opentransportdata.swiss/didok/8515342
LTY;Lutry;LTY;Lutry;100;5.073;Lausanne - Simplon Tunnel I - Iselle;SBB CFF;2542581.879;1150549.814;1150549.81114,2542581.88052;8501122;1122;Lutry;http://lod.opentransportdata.swiss/didok/8501122
LUET;Lutisburg;LUET;Lutisburg;853;10.14903;Wil Sud - Wattwil - Uznach;SBB CFF;2723232.009;1249392.106;1249392.11113,2723232.01065;8506204;6204;Lütisburg;http://lod.opentransportdata.swiss/didok/8506204
LY;Lyss;LY;Lyss;260;23.3666;Zollikofen Nord - Biel/Bienne Aebistr.;SBB CFF;2589949.857;1213931.874;1213931.87115,2589949.86055;8504414;4414;Lyss;http://lod.opentransportdata.swiss/didok/8504414
LYFU;Lyss Fulenmatt;LY;Lyss;264;101.495;Lyss West - Lyss Fulenmatt (Agl);SBB CFF;2590151.336;1215543.096;1215543.10115,2590151.34055;8516186;16186;Lyss Fulenmatt;http://lod.opentransportdata.swiss/didok/8516186
LYN;Lyss Nord;LY;Lyss;260;23.6;Zollikofen Nord - Biel/Bienne Aebistr.;SBB CFF;2589885.605;1214156.762;1214156.76115,2589885.61055;8515343;15343;Lyss Nord;http://lod.opentransportdata.swiss/didok/8515343
LZEF;Luzern Einfahrt (Abzw);LZ;Luzern;552;94.46571;Luzern Verbindung Seeverlad;SBB CFF;2666201.893;1210767.752;1210767.75113,2666201.89062;8505045;5045;Luzern Einfahrt (Abzw);http://lod.opentransportdata.swiss/didok/8505045
LZSE;Luzern Seeverlad;LZ;Luzern;552;95.30263;Luzern Verbindung Seeverlad;SBB CFF;2666888.608;1210929.876;1210929.88113,2666888.61062;8515737;15737;Luzern Seeverlad;http://lod.opentransportdata.swiss/didok/8515737
LZTB;Luzern Tiefbahnhof;LZTB;Luzern Tiefbahnhof;9571;0.0;Ebikon Sud - Neustadttunnel West;SBB CFF;2666270.0;1211340.0;1211340.00113,2666270.00062;8509010;9010;Luzern Tiefbahnhof;http://lod.opentransportdata.swiss/didok/8509010
MAG;Magadino-Vira;MAG;Magadino-Vira;631;166.96358;Cadenazzo - Pino confine;SBB CFF;2709061.819;1111406.221;1111406.22107,2709061.82068;8505406;5406;Magadino-Vira;http://lod.opentransportdata.swiss/didok/8505406
MBGW;Mulberg West;MBGW;Mulberg West;9780;354.0;Bruttenertunnel West;SBB CFF;2691716.1468;1254939.6621;1254939.66114,2691716.15062;8519643;19643;Mülberg West;http://lod.opentransportdata.swiss/didok/8519643
MDEC;Melide Centrale (bif);MDEC;Melide Centrale (bif);600;186.15844;Immensee - Bellinzona - Chiasso;SBB CFF;2716974.289;1091526.477;1091526.48107,2716974.29069;8515414;15414;Melide Centrale (bif);http://lod.opentransportdata.swiss/didok/8515414
MEIB;Meilibach (Abzw);MEIB;Meilibach (Abzw);720;19.43942;ZH Langstrasse - Thalwil - Ziegelbrucke;SBB CFF;2690038.35;1234046.242;1234046.24113,2690038.35063;8503215;3215;Meilibach (Abzw);http://lod.opentransportdata.swiss/didok/8503215
MEIB;Meilibach (Abzw);MEIB;Meilibach (Abzw);9724;0.0;Meilibach (Abzw) - Sihlbrugg;SBB CFF;2690038.35;1234046.242;1234046.24113,2690038.35063;8503215;3215;Meilibach (Abzw);http://lod.opentransportdata.swiss/didok/8503215
MEL;Mellingen;MEL;Mellingen;703;50.10736;ZH Oerlikon Nord - Wettingen - Gruemet;SBB CFF;2663007.543;1253559.135;1253559.14114,2663007.5406;8502107;2107;Mellingen;http://lod.opentransportdata.swiss/didok/8502107
MEY;Malley (B);MEY;Malley (B);150;1.913;Lausanne - Geneve-Aeroport;SBB CFF;2536252.912;1152971.798;1152971.80114,2536252.91052;8515561;15561;Malley (B);http://lod.opentransportdata.swiss/didok/8515561
MEZ;Mezzovico;MEZ;Mezzovico;600;168.8616;Immensee - Bellinzona - Chiasso;SBB CFF;2715226.473;1105845.384;1105845.38107,2715226.47069;8505217;5217;Mezzovico;http://lod.opentransportdata.swiss/didok/8505217
MF;Maienfeld;MF;Maienfeld;900;7.76747;Sargans Ost - Chur West (Gleisende);SBB CFF;2758972.585;1207982.709;1207982.7111,2758972.59069;8509003;9003;Maienfeld;http://lod.opentransportdata.swiss/didok/8509003
MIT;Mitlodi;MIT;Mitlodi;736;72.26972;Ziegelbrucke Ost - Linthal Gleisende;SBB CFF;2724896.394;1207871.35;1207871.35111,2724896.39066;8503232;3232;Mitlödi;http://lod.opentransportdata.swiss/didok/8503232
MRL;Moreillon;MRL;Moreillon;250;14.6198;Lausanne Est - Bern;SBB CFF;2549880.843;1150997.152;1150997.15113,2549880.84053;8504007;4007;Moreillon;http://lod.opentransportdata.swiss/didok/8504007
MRT;Murten/Morat;MRT;Murten/Morat;251;76.52106;Palezieux Est - Lyss Nord;SBB CFF;2575372.918;1197189.989;1197189.99115,2575372.92054;8504128;4128;Murten/Morat;http://lod.opentransportdata.swiss/didok/8504128
MST;Munchenstein;MST;Munchenstein;230;118.30169;Delemont Est - Basel SBB Ost;SBB CFF;2613481.875;1262532.235;1262532.23117,2613481.88056;8500119;119;Münchenstein;http://lod.opentransportdata.swiss/didok/8500119
MTL;Marthalen;MTL;Marthalen;762;45.988;Winterthur Nord - Schaffhausen RB Ost;SBB CFF;2691500.883;1276344.73;1276344.73114,2691500.88062;8506048;6048;Marthalen;http://lod.opentransportdata.swiss/didok/8506048
MUEH;Muhlau;MUEH;Muhlau;653;88.46876;Gexi Ost - Rotkreuz - Immensee West;SBB CFF;2671941.07;1230889.581;1230889.58114,2671941.07061;8502217;2217;Mühlau;http://lod.opentransportdata.swiss/didok/8502217
